HOME,AWAY,RESULT
Arsenal,Swansea,A
Aston Villa,Swansea,A
Burnley,Swansea,A
Chelsea,Swansea,H
Crystal Palace,Swansea,H
Everton,Swansea,D
Hull,Swansea,A
Leicester,Swansea,H
Liverpool,Swansea,H
Man City,Swansea,H
Man United,Swansea,A
Newcastle,Swansea,A
QPR,Swansea,D
Southampton,Swansea,A
Stoke,Swansea,H
Sunderland,Swansea,D
Swansea,Burnley,H
Swansea,West Brom,H
Swansea,Southampton,A
Swansea,Newcastle,D
Swansea,Leicester,H
Swansea,Arsenal,H
Swansea,Crystal Palace,D
Swansea,QPR,H
Swansea,Tottenham,A
Swansea,Aston Villa,H
Swansea,West Ham,D
Swansea,Chelsea,A
Swansea,Sunderland,D
Swansea,Man United,H
Swansea,Liverpool,A
Swansea,Hull,H
Swansea,Everton,D
Swansea,Stoke,H
Swansea,Man City,A
Tottenham,Swansea,H
West Brom,Swansea,H
West Ham,Swansea,H
Arsenal,Swansea,A
Aston Villa,Swansea,A
Bournemouth,Swansea,H
Chelsea,Swansea,D
Crystal Palace,Swansea,D
Everton,Swansea,A
Leicester,Swansea,H
Liverpool,Swansea,H
Man City,Swansea,H
Man United,Swansea,H
Newcastle,Swansea,H
Norwich,Swansea,H
Southampton,Swansea,H
Stoke,Swansea,D
Sunderland,Swansea,D
Swansea,Newcastle,H
Swansea,Man United,H
Swansea,Everton,D
Swansea,Tottenham,D
Swansea,Stoke,A
Swansea,Arsenal,A
Swansea,Bournemouth,D
Swansea,Leicester,A
Swansea,West Ham,D
Swansea,West Brom,H
Swansea,Sunderland,A
Swansea,Watford,H
Swansea,Crystal Palace,D
Swansea,Southampton,A
Swansea,Norwich,H
Swansea,Aston Villa,H
Swansea,Chelsea,H
Swansea,Liverpool,H
Swansea,Man City,D
Tottenham,Swansea,H
Watford,Swansea,H
West Brom,Swansea,D
West Ham,Swansea,A
