HOME,AWAY,RESULT
Arsenal,Swansea,H
Bournemouth,Swansea,H
Burnley,Swansea,A
Chelsea,Swansea,H
Crystal Palace,Swansea,A
Everton,Swansea,D
Hull,Swansea,H
Leicester,Swansea,H
Liverpool,Swansea,A
Man City,Swansea,H
Middlesbrough,Swansea,H
Southampton,Swansea,H
Stoke,Swansea,H
Swansea,Hull,A
Swansea,Chelsea,D
Swansea,Man City,A
Swansea,Liverpool,A
Swansea,Watford,D
Swansea,Man United,A
Swansea,Crystal Palace,H
Swansea,Sunderland,H
Swansea,West Ham,A
Swansea,Bournemouth,A
Swansea,Arsenal,A
Swansea,Southampton,H
Swansea,Leicester,H
Swansea,Burnley,H
Tottenham,Swansea,H
West Brom,Swansea,H
West Ham,Bournemouth,H
West Ham,Watford,A
